id,score,rank,class
S21200325,95.453785,1,212031
S21201111,94.80572,2,212021
S20202202,94.72527,3,212022
S65200415,94.541255,4,212027
S15201026,94.5406,5,212026
S21201404,94.53873,6,212030
S18200519,93.66734,7,212028
S21200206,93.66683,8,212026
S21200811,93.65374,9,212026
S21200911,93.44312,10,212025
S21200316,93.375154,11,212029
S24200222,93.320464,12,212028
S15200220,93.293094,13,212032
S21201314,93.27504,14,212032
S21200821,93.18729,15,212024
S21200122,93.0731,16,212021
S21201303,92.97844,17,212026
S21200215,92.865766,18,212025
S9200516,92.63998,19,212024
S21200427,92.58801,20,212022
S21201423,92.53701,21,212022
S21201519,92.35654,22,212030
S21201319,92.30736,23,212032
S21201504,92.077916,24,212029
S21201522,92.054816,25,212032
S21200217,92.03945,26,212026
S20201120,91.96804,27,212029
S21201124,91.82022,28,212027
S21201206,91.767125,29,212029
S21201411,91.75079,30,212029
S18200123,91.672344,31,212025
S21200610,91.56849,32,212028
S21200901,91.499676,33,212021
S21200319,91.37354,34,212029
S9200610,91.201245,35,212024
S21201523,91.19987,36,212023
S21200123,91.06275,37,212022
S21200213,91.05272,38,212022
S17190508,90.90883,39,212024
S21200306,90.89976,40,212031
S21200222,90.85379,41,212029
S24200917,90.84821,42,212024
S21200703,90.83929,43,212031
S21200231,90.76899,44,212026
S21201106,90.72137,45,212027
S21201306,90.682745,46,212031
S21201520,90.65285,47,212031
S21201325,90.64183,48,212030
S21200305,90.63734,49,212025
S21200211,90.62802,50,212030
S21200203,90.60413,51,212027
S24200613,90.520374,52,212024
S21200516,90.479525,53,212032
S21200501,90.39373,54,212025
S21200716,90.16774,55,212021
S21201502,90.156164,56,212026
S21200822,90.15209,57,212028
S21200131,90.07125,58,212031
S21200314,90.03929,59,212027
S21201229,90.03805,60,212022
S23200623,89.99483,61,212031
S21201117,89.92021,62,212029
S21201508,89.757455,63,212029
S21200404,89.74959,64,212024
S21200328,89.48262,65,212023
S21201009,89.29838,66,212030
S21200334,89.240044,67,212032
S15201311,89.22888,68,212022
S21201002,89.157744,69,212022
S21201424,89.13343,70,212032
S21201015,89.00689,71,212027
S21200333,88.93929,72,212024
S21201227,88.932164,73,212025
S21200715,88.929935,74,212021
S21201001,88.89539,75,212032
S15201122,88.88827,76,212021
S21201127,88.879294,77,212030
S14200619,88.77655,78,212030
S20201009,88.65299,79,212023
S21200818,88.61835,80,212025
S21201122,88.54012,81,212026
S21200707,88.534586,82,212028
S21201410,88.52252,83,212031
S21201031,88.51759,84,212023
S28200309,88.48253,85,212021
S24200317,88.48161,86,212032
S21200621,88.35685,87,212024
S21201201,88.26148,88,212021
S21200805,88.174626,89,212025
S21200315,88.07379,90,212023
S21201420,88.06873,91,212027
S13200324,88.06233,92,212022
S21201029,87.975065,93,212026
S21200825,87.9352,94,212024
S21200132,87.91635,95,212026
S21201428,87.84711,96,212022
S21201431,87.701265,97,212029
S21200902,87.67792,98,212032
S21200301,87.63126,99,212028
S16201209,87.577245,100,212023
S21200930,87.55515,101,212031
S9200807,87.54607,102,212023
S16200211,87.521366,103,212029
S21201324,87.514324,104,212026
S21200221,87.47334,105,212027
S21201128,87.44497,106,212022
S21201215,87.43538,107,212027
S21200205,87.35688,108,212022
S21200724,87.282626,109,212025
S21201501,87.27976,110,212027
S28200329,87.25987,111,212025
S22200522,87.25345,112,212026
S23200923,87.252625,113,212021
S21200302,87.17145,114,212024
S18200223,87.11033,115,212031
S22200308,87.04196,116,212022
S21200422,87.00113,117,212022
S21201430,86.96631,118,212030
S21201114,86.94539,119,212031
S21200124,86.89562,120,212028
S21201427,86.877194,121,212025
S21200425,86.85316,122,212021
S21200520,86.81009,123,212028
S21200931,86.804186,124,212032
S21201207,86.72252,125,212029
S21200405,86.70605,126,212023
S21200727,86.698825,127,212023
S21201516,86.56079,128,212028
S21200111,86.546235,129,212025
S21201307,86.5416,130,212030
S21200624,86.44825,131,212027
S21200910,86.39586,132,212030
S21200606,86.2399,133,212021
S21200528,86.20215,134,212021
S21200114,86.184356,135,212031
S21200313,86.18345,136,212028
S21200815,86.0904,137,212023
S21200806,86.0731,138,212029
S21201328,86.02522,139,212023
S21200531,85.993214,140,212030
S21200323,85.991016,141,212031
S21200532,85.92327,142,212024
S21200709,85.881795,143,212023
S21201514,85.87485,144,212026
S21201120,85.8724,145,212031
S21200608,85.70527,146,212030
S21201012,85.66895,147,212031
S21200625,85.65653,148,212024
S21200909,85.64941,149,212028
S21200518,85.470104,150,212028
S21200330,85.44021,151,212030
S21200905,85.37171,152,212028
S21201017,85.3574,153,212021
S21200615,85.220445,154,212025
S21201332,85.204924,155,212024
S21200907,85.19483,156,212023
S21200125,85.19301,157,212026
S21201118,85.151475,158,212030
S21200809,85.10453,159,212025
S21201018,85.02641,160,212028
S21200908,85.02136,161,212022
S21200117,84.92538,162,212021
S21200533,84.853776,163,212032
S21200529,84.79133,164,212027
S22190407,84.77532,165,212022
S21200403,84.766205,166,212030
S21200616,84.73724,167,212029
S21201011,84.72347,168,212024
S21201208,84.68965,169,212030
S21200207,84.67548,170,212026
S21201512,84.63237,171,212025
S21201316,84.52354,172,212025
S21201103,84.43172,173,212031
S9200217,84.43157,174,212023
S21201415,84.41086,175,212021
S21200932,84.40062,176,212032
S21200209,84.30943,177,212022
S21200107,84.30712,178,212027
S21201209,84.255666,179,212025
S21201513,84.222294,180,212029
S21200225,84.20998,181,212025
S21200311,84.19964,182,212023
S21201224,84.19516,183,212032
